x1,T_bubble_K,T_bubble_C,T_dew_K,T_dew_C
0.0,353.9575,80.8075,353.9575,80.8075
0.025,353.5586,80.4086,353.6813,80.5313
0.05,353.1974,80.0474,353.4118,80.2618
0.075,352.8701,79.7201,353.1496,79.9996
0.1,352.5739,79.4239,352.8954,79.7454
0.125,352.3059,79.1559,352.6501,79.5001
0.15,352.0639,78.9139,352.4145,79.2645
0.175,351.8458,78.6958,352.1893,79.0393
0.2,351.6498,78.4998,351.9756,78.8256
0.225,351.4742,78.3242,351.7742,78.6242
0.25,351.3176,78.1676,351.5859,78.4359
0.275,351.1788,78.0288,351.4118,78.2618
0.3,351.0568,77.9068,351.2526,78.1026
0.325,350.9506,77.8006,351.1092,77.9592
0.35,350.8594,77.7094,350.9823,77.8323
0.375,350.7825,77.6325,350.8726,77.7226
0.4,350.7194,77.5694,350.7806,77.6306
0.425,350.6696,77.5196,350.7069,77.5569
0.45,350.6328,77.4828,350.6517,77.5017
0.475,350.6085,77.4585,350.6152,77.4652
0.5,350.5967,77.4467,350.5974,77.4474
0.525,350.5973,77.4473,350.5982,77.4482
0.55,350.6101,77.4601,350.6173,77.4673
0.575,350.6352,77.4852,350.6542,77.5042
0.6,350.6727,77.5227,350.7086,77.5586
0.625,350.7227,77.5727,350.7797,77.6297
0.65,350.7856,77.6356,350.8668,77.7168
0.675,350.8615,77.7115,350.9692,77.8192
0.7,350.951,77.801,351.086,77.936
0.725,351.0543,77.9043,351.2165,78.0665
0.75,351.1721,78.0221,351.3596,78.2096
0.775,351.305,78.155,351.5147,78.3647
0.8,351.4535,78.3035,351.6809,78.5309
0.825,351.6186,78.4686,351.8573,78.7073
0.85,351.8009,78.6509,352.0432,78.8932
0.875,352.0014,78.8514,352.2377,79.0877
0.9,352.2213,79.0713,352.4403,79.2903
0.925,352.4615,79.3115,352.6502,79.5002
0.95,352.7233,79.5733,352.8667,79.7167
0.975,353.0081,79.8581,353.0893,79.9393
1.0,353.3175,80.1675,353.3175,80.1675
