x1,T_bubble_K,T_bubble_C,T_dew_K,T_dew_C
0.0,383.5406,110.3906,383.5406,110.3906
0.025,382.3824,109.2324,383.0402,109.8902
0.05,381.2561,108.1061,382.5327,109.3827
0.075,380.1604,107.0104,382.0178,108.8678
0.1,379.0942,105.9442,381.4954,108.3454
0.125,378.0561,104.9061,380.9652,107.8152
0.15,377.0451,103.8951,380.4269,107.2769
0.175,376.0602,102.9102,379.8802,106.7302
0.2,375.1001,101.9501,379.3248,106.1748
0.225,374.1641,101.0141,378.7604,105.6104
0.25,373.2511,100.1011,378.1866,105.0366
0.275,372.3602,99.2102,377.6032,104.4532
0.3,371.4907,98.3407,377.0096,103.8596
0.325,370.6417,97.4917,376.4056,103.2556
0.35,369.8124,96.6624,375.7906,102.6406
0.375,369.0021,95.8521,375.1642,102.0142
0.4,368.2101,95.0601,374.526,101.376
0.425,367.4357,94.2857,373.8754,100.7254
0.45,366.6783,93.5283,373.2117,100.0617
0.475,365.9373,92.7873,372.5346,99.3846
0.5,365.2121,92.0621,371.8432,98.6932
0.525,364.5021,91.3521,371.1369,97.9869
0.55,363.8068,90.6568,370.4149,97.2649
0.575,363.1258,89.9758,369.6765,96.5265
0.6,362.4584,89.3084,368.9207,95.7707
0.625,361.8043,88.6543,368.1467,94.9967
0.65,361.163,88.013,367.3533,94.2033
0.675,360.534,87.384,366.5395,93.3895
0.7,359.917,86.767,365.704,92.554
0.725,359.3116,86.1616,364.8456,91.6956
0.75,358.7173,85.5673,363.9626,90.8126
0.775,358.1339,84.9839,363.0536,89.9036
0.8,357.561,84.411,362.1166,88.9666
0.825,356.9982,83.8482,361.1497,87.9997
0.85,356.4452,83.2952,360.1507,87.0007
0.875,355.9018,82.7518,359.1171,85.9671
0.9,355.3676,82.2176,358.0461,84.8961
0.925,354.8423,81.6923,356.9344,83.7844
0.95,354.3257,81.1757,355.7786,82.6286
0.975,353.8175,80.6675,354.5745,81.4245
1.0,353.3175,80.1675,353.3175,80.1675
