x1,T_bubble_K,T_bubble_C,T_dew_K,T_dew_C
0.0,261.2789,-11.8711,261.2789,-11.8711
0.025,237.494,-35.656,260.8255,-12.3245
0.05,221.5061,-51.6439,260.1519,-12.9981
0.075,211.3064,-61.8436,259.4653,-13.6847
0.1,204.4089,-68.7411,258.765,-14.385
0.125,199.4582,-73.6918,258.0502,-15.0998
0.15,195.7437,-77.4063,257.3202,-15.8298
0.175,192.8677,-80.2823,256.574,-16.576
0.2,190.5915,-82.5585,255.8109,-17.3391
0.225,188.7628,-84.3872,255.0297,-18.1203
0.25,187.2795,-85.8705,254.2294,-18.9206
0.275,186.0701,-87.0799,253.4088,-19.7412
0.3,185.083,-88.067,252.5665,-20.5835
0.325,184.2798,-88.8702,251.7011,-21.4489
0.35,183.6311,-89.5189,250.811,-22.339
0.375,183.114,-90.036,249.8944,-23.2556
0.4,182.7103,-90.4397,248.9493,-24.2007
0.425,182.4053,-90.7447,247.9735,-25.1765
0.45,182.1867,-90.9633,246.9644,-26.1856
0.475,182.0446,-91.1054,245.9193,-27.2307
0.5,181.97,-91.18,244.8349,-28.3151
0.525,181.9556,-91.1944,243.7075,-29.4425
0.55,181.9946,-91.1554,242.5328,-30.6172
0.575,182.081,-91.069,241.3061,-31.8439
0.6,182.2094,-90.9406,240.0214,-33.1286
0.625,182.3743,-90.7757,238.672,-34.478
0.65,182.5708,-90.5792,237.2497,-35.9003
0.675,182.7938,-90.3562,235.7448,-37.4052
0.7,183.0379,-90.1121,234.1452,-39.0048
0.725,183.2976,-89.8524,232.436,-40.714
0.75,183.567,-89.583,230.5982,-42.5518
0.775,183.8391,-89.3109,228.6073,-44.5427
0.8,184.1064,-89.0436,226.4306,-46.7194
0.825,184.3597,-88.7903,224.0235,-49.1265
0.85,184.5887,-88.5613,221.3216,-51.8284
0.875,184.7809,-88.3691,218.2283,-54.9217
0.9,184.9221,-88.2279,214.5867,-58.5633
0.925,184.9974,-88.1526,210.114,-63.036
0.95,184.9949,-88.1551,204.21,-68.94
0.975,184.9185,-88.2315,195.1268,-78.0232
1.0,194.1527,-78.9973,194.1527,-78.9973
