x1,T_bubble_K,T_bubble_C,T_dew_K,T_dew_C
0.0,373.1323,99.9823,373.1323,99.9823
0.025,367.6467,94.4967,372.4902,99.3402
0.05,364.0511,90.9011,371.8359,98.6859
0.075,361.5832,88.4332,371.1692,98.0192
0.1,359.8263,86.6763,370.4895,97.3395
0.125,358.5366,85.3866,369.7964,96.6464
0.15,357.5637,84.4137,369.0893,95.9393
0.175,356.8107,83.6607,368.3678,95.2178
0.2,356.2131,83.0631,367.6314,94.4814
0.225,355.7269,82.5769,366.8794,93.7294
0.25,355.3215,82.1715,366.1115,92.9615
0.275,354.9752,81.8252,365.3273,92.1773
0.3,354.6725,81.5225,364.5262,91.3762
0.325,354.4024,81.2524,363.7082,90.5582
0.35,354.1568,81.0068,362.873,89.723
0.375,353.9301,80.7801,362.0208,88.8708
0.4,353.7181,80.5681,361.1522,88.0022
0.425,353.518,80.368,360.2685,87.1185
0.45,353.3279,80.1779,359.3719,86.2219
0.475,353.1465,79.9965,358.4662,85.3162
0.5,352.9731,79.8231,357.5579,84.4079
0.525,352.8074,79.6574,356.6578,83.5078
0.55,352.6494,79.4994,355.7831,82.6331
0.575,352.4991,79.3491,354.9604,81.8104
0.6,352.3571,79.2071,354.222,81.072
0.625,352.2238,79.0738,353.5922,80.4422
0.65,352.0998,78.9498,353.0753,79.9253
0.675,351.9859,78.8359,352.6603,79.5103
0.7,351.8826,78.7326,352.3321,79.1821
0.725,351.7909,78.6409,352.0763,78.9263
0.75,351.7113,78.5613,351.881,78.731
0.775,351.645,78.495,351.7364,78.5864
0.8,351.5928,78.4428,351.6348,78.4848
0.825,351.5558,78.4058,351.57,78.42
0.85,351.5348,78.3848,351.5369,78.3869
0.875,351.5312,78.3812,351.5478,78.3978
0.9,351.5451,78.3951,351.5492,78.3992
0.925,351.5785,78.4285,351.5881,78.4381
0.95,351.6323,78.4823,351.6451,78.4951
0.975,351.7075,78.5575,351.7183,78.5683
1.0,351.8055,78.6555,351.8055,78.6555
