x1,T_bubble_K,T_bubble_C,T_dew_K,T_dew_C
0.0,329.2896,56.1396,329.2896,56.1396
0.025,329.0439,55.8939,329.0867,55.9367
0.05,328.8334,55.6834,328.8977,55.7477
0.075,328.6547,55.5047,328.7243,55.5743
0.1,328.5051,55.3551,328.5682,55.4182
0.125,328.3822,55.2322,328.4312,55.2812
0.15,328.2839,55.1339,328.3153,55.1653
0.175,328.2084,55.0584,328.2225,55.0725
0.2,328.1542,55.0042,328.155,55.005
0.225,328.1201,54.9701,328.1149,54.9649
0.25,328.105,54.955,328.1043,54.9543
0.275,328.1079,54.9579,328.125,54.975
0.3,328.1281,54.9781,328.1787,55.0287
0.325,328.1651,55.0151,328.2664,55.1164
0.35,328.2185,55.0685,328.3888,55.2388
0.375,328.2879,55.1379,328.5459,55.3959
0.4,328.3733,55.2233,328.737,55.587
0.425,328.4747,55.3247,328.9606,55.8106
0.45,328.5921,55.4421,329.2148,56.0648
0.475,328.7259,55.5759,329.4966,56.3466
0.5,328.8764,55.7264,329.8034,56.6534
0.525,329.0443,55.8943,330.1325,56.9825
0.55,329.2301,56.0801,330.4807,57.3307
0.575,329.4345,56.2845,330.8452,57.6952
0.6,329.6585,56.5085,331.2232,58.0732
0.625,329.9035,56.7535,331.6122,58.4622
0.65,330.1711,57.0211,332.0099,58.8599
0.675,330.4627,57.3127,332.4143,59.2643
0.7,330.7802,57.6302,332.8237,59.6737
0.725,331.1258,57.9758,333.2366,60.0866
0.75,331.5018,58.3518,333.6517,60.5017
0.775,331.911,58.761,334.0679,60.9179
0.8,332.3563,59.2063,334.4844,61.3344
0.825,332.8414,59.6914,334.9003,61.7503
0.85,333.3701,60.2201,335.315,62.165
0.875,333.9468,60.7968,335.7279,62.5779
0.9,334.5768,61.4268,336.1387,62.9887
0.925,335.2655,62.1155,336.547,63.397
0.95,336.0196,62.8696,336.9525,63.8025
0.975,336.8463,63.6963,337.3548,64.2048
1.0,337.7539,64.6039,337.7539,64.6039
