x1,T_bubble_K,T_bubble_C,T_dew_K,T_dew_C
0.0,373.1323,99.9823,373.1323,99.9823
0.025,368.968,95.818,372.5163,99.3663
0.05,365.6672,92.5172,371.8888,98.7388
0.075,362.992,89.842,371.2495,98.0995
0.1,360.7809,87.6309,370.5979,97.4479
0.125,358.9214,85.7714,369.9334,96.7834
0.15,357.3328,84.1828,369.2557,96.1057
0.175,355.9562,82.8062,368.564,95.414
0.2,354.7477,81.5977,367.8579,94.7079
0.225,353.6738,80.5238,367.1368,93.9868
0.25,352.709,79.559,366.4,93.25
0.275,351.8331,78.6831,365.6468,92.4968
0.3,351.0305,77.8805,364.8767,91.7267
0.325,350.2884,77.1384,364.0887,90.9387
0.35,349.597,76.447,363.2824,90.1324
0.375,348.948,75.798,362.4569,89.3069
0.4,348.3347,75.1847,361.6114,88.4614
0.425,347.7518,74.6018,360.7454,87.5954
0.45,347.1947,74.0447,359.8581,86.7081
0.475,346.6598,73.5098,358.9489,85.7989
0.5,346.144,72.994,358.0175,84.8675
0.525,345.6447,72.4947,357.0635,83.9135
0.55,345.1599,72.0099,356.0869,82.9369
0.575,344.6877,71.5377,355.0881,81.9381
0.6,344.2267,71.0767,354.068,80.918
0.625,343.7755,70.6255,353.0281,79.8781
0.65,343.3332,70.1832,351.9706,78.8206
0.675,342.8989,69.7489,350.8989,77.7489
0.7,342.4717,69.3217,349.8173,76.6673
0.725,342.0511,68.9011,348.7307,75.5807
0.75,341.6366,68.4866,347.645,74.495
0.775,341.2277,68.0777,346.5662,73.4162
0.8,340.824,67.674,345.4997,72.3497
0.825,340.4253,67.2753,344.4504,71.3004
0.85,340.0312,66.8812,343.4218,70.2718
0.875,339.6415,66.4915,342.4165,69.2665
0.9,339.256,66.106,341.4356,68.2856
0.925,338.8747,65.7247,340.4796,67.3296
0.95,338.4973,65.3473,339.548,66.398
0.975,338.1237,64.9737,338.6399,65.4899
1.0,337.7539,64.6039,337.7539,64.6039
